"Payment received successfully","Payment received successfully"
"Something went wrong while saving this configuration, your Zenkipay key is incorrect.","Something went wrong while saving this configuration, your Zenkipay key is incorrect."
"Invalid RSA private key has been provided.","Invalid RSA private key has been provided."
"Invalid access token","Invalid access token"
"Place Order","Place Order"
Zenkipay,Zenkipay
Enabled,Habilitado
"Test mode","Modo de prueba"
"Sandbox Zenkipay key","Llave de sandbox de Zenkipay"
"Production Zenkipay key","Llave de producción de Zenkipay"
"Webhook signing secret","Firma secreta del webhook"
"You can get this secret from your Zenkipay Dashboard: Configurations > Webhooks.","Puedes obtener esta firma secreta del Dashboard de Zenkipay: Configuración > Webhooks."
"Signing secret is required to confirm the orders.","La firma secreta es requerida para confirmar los pedidos."
"RSA private key","Llave privada RSA"
"Copy and paste in this text box the RSA private key that you generated or provided during the configuration of your Zenkipay account.","Copia y pega en esta caja de texto la llave privada RSA que generaste o proporcionaste durante la configuración de tu cuenta de Zenkipay."
"RSA private key is required to sign tha transactions.","La llave privada RSA es requerida para firmar las transacciones."
"Payment from Applicable Countries","Pago desde países aplicables"
"Payment from Specific Countries","Pago desde países específicos"
"Sort Order","Orden"
"Thank you for your purchase!","¡Gracias por tu compra!"
